"ecommerce","marca","producto","precio_actual","precio_antes","unidades","pulgadas"
"wong","lg","lg smart tv 49"" full hd 49lk5400","1299"," 1399","276","49"
"wong","aoc","aoc smart tv 32'' hd le32s5970s linux"," 599","  799"," 90","32"
"wong","lg","lg smart tv 60"" 4k uhd 60uk6200 thinq ai","2299"," 2599"," 18","60"
"wong","lg","lg smart tv 43"" fhd 43lk5400"," 999"," 1199","303","43"
"wong","hisense","hisense televisor led 32'' hd h3218h4ip"," 499"," 1299"," 22","32"
"wong","lg","lg smart tv 55"" 4k uhd 55uk6200 thinq ai","1799"," 2199"," 31","55"
"wong","aoc","aoc smart tv 55'' 4k uhd 55u7970 linux","1299"," 2499","  3","55"
"wong","aoc","aoc televisor led 32'' hd 32m1370"," 499","  699","  4","32"
"wong","samsung","samsung smart tv 50'' 4k uhd 50nu7095","1299"," 1799"," 19","50"
"wong","aoc","aoc smart tv 50'' 4k uhd 50u6285 linux","1199"," 1899","  2","50"
"wong","samsung","samsung smart tv qled 55"" 4k uhd 55q6fn","6999"," 6999","  1","55"
"wong","aoc","aoc smart tv 65'' 4k uhd 65u7970 linux","2299"," 3599","  3","65"
"wong","lg","lg smart tv 49"" 4k uhd 49uk6200 thinq ai","1499"," 1699"," 20","49"
"wong","samsung","samsung smart tv 65'' 4k uhd 65ru7100","3499"," 3499"," 10","65"
"wong","samsung","samsung smart tv 58'' 4k uhd 58ru7100","2099"," 2699"," 10","58"
"wong","samsung","samsung smart tv 55'' 4k uhd 55ru7100","1799"," 2399"," 20","55"
"wong","philips","philips smart tv oled ambilight 55'' 4k uhd 55oled873","4499"," 7999","  1","55"
"wong","philips","philips smart tv ambilight 65'' 4k uhd 65pud6703","2599"," 3999","  1","65"
"wong","aoc","aoc smart tv 55'' 4k uhd le55u6285 linux","1399"," 2499"," 10","55"
"wong","philips","philips smart tv 58'' 4k uhd 58pud6513","1799"," 2599","  2","58"
"wong","samsung","samsung smart tv 43'' 4k uhd 43nu7090","1599"," 1699","  6","43"
"wong","aoc","aoc smart tv 43'' full hd le43s5970s linux"," 999"," 1299"," 19","43"
"wong","samsung","samsung smart tv 82'' 4k uhd 82nu8000","7999","18999","  1","82"
"wong","samsung","samsung smart tv 49"" full hd 49j5290","1099"," 1799","  6","49"
"wong","samsung","lg smart tv 86"" 4k uhd 86uk6570 thinq ai","9999","19999","  1","86"
"wong","hisense","hisense smart tv 32'' hd 3218h5ipe vidaa u"," 599","  999","644","32"
"wong","panasonic","panasonic smart tv viera 32'' hd 32fs500"," 799","  999","  4","32"
"wong","sony","sony smart tv 32'' hd kdl-32w605d"," 949"," 1199","  3","32"
"wong","samsung","samsung smart tv curvo 55'' 4k uhd 55nu7500","4499"," 4499","  3","55"
"wong","hisense","hisense smart tv 49'' full hd 4918rtfipe"," 999"," 2099"," 87","49"
"wong","samsung","samsung smart tv qled curvo 65"" 4k uhd 65q8cn","5799","10999","  2","65"
"wong","lg","lg smart tv 65"" 4k uhd 65uk6550 thinq ai","2999"," 5499","  1","65"
"wong","lg","lg smart tv 75"" 4k uhd 75uk6570 thinq ai","5499","11999","  1","75"
"wong","lg","lg smart tv oled 65"" 4k uhd oled65b8 thinq ai","7999","10999","  4","65"
"wong","philips","philips smart tv ambilight 55'' 4k uhd 55pud6703","1799"," 2599"," 10","55"
"wong","hisense","hisense smart tv 43'' full hd 4318fh5ipe vidaa u"," 899"," 1499"," 52","43"
"wong","lg","lg smart tv 32"" hd 32lk540b"," 799","  999"," 45","32"
"wong","lg","lg smart tv 70"" 4k uhd 70uk6550 thinq ai","4499"," 6499","159","70"
"wong","sony","sony smart tv 55'' 4k uhd kd-55x725f opera","1799"," 3599","  2","55"
"wong","aoc","aoc smart tv 39"" hd 39s5970"," 799","  999"," 66","39"
"wong","samsung","samsung smart tv curvo 65'' 4k uhd 65nu7500","6999"," 6999","  1","65"
"wong","lg","lg smart tv 49"" full hd 49lk5700 thinq ai","1349"," 1699","  7","49"
"wong","lg","lg smart tv 55"" 4k uhd 55uk6550 thinq ai","1999"," 2899","  2","55"
"wong","lg","lg smart tv 43"" full hd 43lk5700 thinq ai","1299"," 1299","  9","43"
"wong","lg","lg smart tv 55"" 4k uhd 55uk6350 thinq ai","1799"," 2699","  2","55"
"wong","sony","sony smart tv 55'' 4k uhd kd-55x750f android","2199"," 4499","  2","55"
"wong","samsung","samsung smart tv curvo 65'' 4k uhd 65nu7300","4999"," 4999","  1","65"
"wong","sony","sony smart tv 40'' full hd kdl-40w655d linux","1299"," 1699","  4","40"
"wong","samsung","samsung smart tv 55'' 4k uhd 55mu6103","3599"," 3599","  1","55"
"wong","daewoo","daewoo smart tv 43'' full hd l43s780bts","1439"," 1439","  1","43"
"wong","samsung","samsung smart tv 49'' 4k uhd 49mu6400","3999"," 3999","  2","49"
